Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Notes,GPX File
2017-08-10 17:59:54,Running,,3.00,18:51,6:18,9.54,162.0,21,,,2017-08-10-1759.gpx
2017-08-08 18:44:31,Running,,6.94,45:23,6:32,9.17,376.0,62,,,2017-08-08-1844.gpx
2017-07-28 12:40:04,Running,,7.86,53:12,6:46,8.86,417.0,65,,,2017-07-28-1240.gpx
2017-07-24 20:24:47,Running,,6.09,45:33,7:29,8.02,318.0,69,,,2017-07-24-2024.gpx
2017-07-21 21:43:10,Running,,5.23,32:13,6:10,9.73,289.0,71,,,2017-07-21-2143.gpx
2017-07-20 19:40:28,Running,,2.07,12:15,5:55,10.14,112.0,14,,,2017-07-20-1940.gpx
2017-07-19 20:16:12,Running,,4.93,30:29,6:11,9.70,267.0,41,,,2017-07-19-2016.gpx
2017-07-17 19:36:04,Cycling,,7.80,48:57,6:17,9.55,197.0,85,,,2017-07-17-1936.gpx
2017-07-17 19:18:28,Running,,2.18,16:40,7:39,7.85,133.0,110,,"",2017-07-17-1918.gpx
2017-07-12 19:01:00,Running,,3.02,18:25,6:06,9.84,160.0,4,,,2017-07-12-1901.gpx
2017-07-06 20:36:57,Running,,2.11,14:03,6:40,9.00,116.0,15,,"",2017-07-06-2036.gpx
2017-07-03 20:54:18,Running,,3.02,20:07,6:39,9.02,165.0,21,,,2017-07-03-2054.gpx
2017-06-29 19:57:35,Running,,5.83,35:19,6:03,9.90,322.0,45,,,2017-06-29-1957.gpx
2017-06-28 19:39:43,Running,,5.70,36:44,6:27,9.31,316.0,51,,,2017-06-28-1939.gpx
2017-06-26 20:48:04,Running,,4.96,33:25,6:45,8.90,276.0,51,,,2017-06-26-2048.gpx
2017-06-20 21:30:15,Running,,3.05,18:30,6:03,9.91,174.0,52,,,2017-06-20-2130.gpx
2017-06-19 21:59:46,Running,,5.20,31:22,6:02,9.94,286.0,70,,,2017-06-19-2159.gpx
2017-06-16 19:43:58,Running,,5.26,34:49,6:37,9.06,288.0,32,150,,2017-06-16-1943.gpx
2017-06-15 18:08:54,Running,,4.17,24:36,5:54,10.17,200.0,21,,,2017-06-15-1808.gpx
2017-06-14 18:05:11,Running,,3.88,22:43,5:51,10.26,207.0,30,,,2017-06-14-1805.gpx
2017-06-08 17:06:01,Running,,2.39,12:47,5:21,11.20,131.0,19,,,2017-06-08-1706.gpx
2017-06-07 20:14:46,Running,,1.71,8:52,5:12,11.54,85.0,11,,,2017-06-07-2014.gpx
2017-06-06 20:23:58,Running,,4.86,30:12,6:13,9.65,264.0,36,,,2017-06-06-2023.gpx
2017-06-05 19:25:27,Running,,8.57,1:00:44,7:05,8.47,468.0,95,,,2017-06-05-1925.gpx
2017-06-02 19:28:16,Running,,2.30,9:23,4:05,14.72,122.0,2,,,2017-06-02-1928.gpx
2017-06-01 20:04:33,Running,,3.63,24:44,6:49,8.80,200.0,36,,,2017-06-01-2004.gpx
2017-05-31 16:52:20,Running,,8.83,1:02:00,7:01,8.54,483.0,74,147,,2017-05-31-1652.gpx
2017-05-30 13:08:28,Running,,4.94,32:18,6:32,9.18,271.0,38,,,2017-05-30-1308.gpx
2017-05-29 18:51:10,Running,,6.23,40:33,6:30,9.22,349.0,68,,,2017-05-29-1851.gpx
2017-05-28 19:32:50,Walking,,0.80,15:17,19:00,3.16,33.0,9,,,2017-05-28-1932.gpx
2017-05-27 14:00:00,Cycling,,26.80,1:52:00,4:11,14.36,408.0,0,,,
2017-05-25 15:16:00,Cycling,,36.30,2:13:00,3:40,16.38,739.0,0,,,
2017-05-23 15:57:50,Running,,4.37,30:04,6:53,8.72,243.0,33,,,2017-05-23-1557.gpx
2017-05-22 19:39:21,Running,,3.03,18:07,5:58,10.05,168.0,24,,,2017-05-22-1939.gpx
2017-05-21 17:16:00,Cycling,,38.10,1:54:57,3:01,19.89,600.0,0,,,
2017-05-19 17:45:19,Running,,4.45,24:56,5:36,10.70,213.0,46,,,2017-05-19-1745.gpx
2017-05-14 20:59:12,Cycling,,26.00,1:28:00,3:23,17.73,535.0,0,,,
2017-05-12 19:37:00,Running,,2.05,12:26,6:04,9.90,107.0,3,,,2017-05-12-1937.gpx
2017-04-30 11:36:57,Running,,10.65,1:00:44,5:42,10.52,574.0,0,,"Meia maratona de revezamento",
2017-04-25 18:58:24,Running,,4.89,28:29,5:49,10.31,256.0,16,,,2017-04-25-1858.gpx
2017-04-21 17:54:01,Running,,1.62,15:00,9:16,6.47,70.0,32,,,2017-04-21-1754.gpx
2017-04-21 10:00:00,Walking,,3.91,1:00:00,15:21,3.91,153.0,38,,,2017-04-21-1000.gpx
2017-04-21 07:00:00,Running,,4.10,24:00,5:51,10.26,220.0,35,,,2017-04-21-0700.gpx
2017-04-20 16:35:00,Running,,0.25,18:00,72:00,0.83,24.0,0,,,
2017-04-20 10:32:00,Running,,3.93,1:00:00,15:17,3.93,154.0,38,,,2017-04-20-1032.gpx
2017-04-16 19:29:05,Running,,3.62,20:52,5:46,10.42,188.0,7,,,2017-04-16-1929.gpx
2017-04-14 19:08:00,Running,,0.85,4:32,5:19,11.27,43.0,0,,,2017-04-14-1908.gpx
2017-04-13 20:51:00,Running,,3.13,18:00,5:45,10.43,163.0,9,,,2017-04-13-2051.gpx
2017-04-12 19:02:57,Running,"Zenith 2K",1.70,8:31,5:01,11.95,87.0,2,,,2017-04-12-1902.gpx
2017-04-12 18:30:00,Running,,1.70,9:47,5:45,10.43,88.0,2,,,2017-04-12-1830.gpx
2017-04-12 12:45:14,Running,,1.83,10:30,5:45,10.43,95.0,2,,,2017-04-12-1245.gpx
2017-04-11 19:25:46,Running,,3.47,18:20,5:17,11.35,185.0,40,,,2017-04-11-1925.gpx
2017-04-10 19:14:00,Running,"Zenith 5K",5.49,33:37,6:08,9.79,281.0,9,,,2017-04-10-1914.gpx
2017-04-08 17:24:20,Running,"Zenith 2K",2.67,13:54,5:12,11.54,136.0,7,,,2017-04-08-1724.gpx
2017-04-07 19:09:02,Running,"Zenith 2K",3.97,21:30,5:25,11.07,190.0,8,,,2017-04-07-1909.gpx
2017-04-06 16:28:00,Running,,2.14,11:32,5:23,11.14,103.0,4,,,2017-04-06-1628.gpx
2017-04-06 15:32:00,Running,"Zenith 2K",2.15,13:00,6:03,9.91,103.0,4,,,2017-04-06-1532.gpx
2017-04-06 15:08:44,Cycling,,16.96,1:10:03,4:08,14.53,333.0,164,,,2017-04-06-1508.gpx
2017-04-04 18:13:00,Cycling,,20.00,1:10:00,3:30,17.14,403.0,0,,,
2017-04-04 17:11:00,Running,,2.14,12:36,5:53,10.19,99.0,4,,,2017-04-04-1711.gpx
2017-04-03 16:02:00,Running,"Toulouse - St Cyprien",5.79,35:26,6:07,9.80,310.0,41,,,2017-04-03-1602.gpx
2017-03-23 18:39:48,Running,,4.08,26:24,6:28,9.28,215.0,44,,,2017-03-23-1839.gpx
2017-03-22 17:33:06,Running,,2.19,11:43,5:21,11.20,121.0,38,,,2017-03-22-1733.gpx
2017-03-22 17:02:25,Running,,2.84,15:14,5:22,11.18,157.0,52,,,2017-03-22-1702.gpx
2017-03-17 16:54:00,Cycling,,41.00,2:30:00,3:40,16.40,804.0,0,,,
2017-03-12 09:30:00,Running,,21.00,2:13:19,6:21,9.45,1148.0,0,,,
2017-03-09 17:57:55,Running,,5.60,35:21,6:19,9.50,289.0,57,,,2017-03-09-1757.gpx
2017-02-26 09:40:00,Running,,5.00,28:49,5:46,10.41,270.0,0,,,
2017-02-24 17:39:07,Running,,2.07,14:09,6:50,8.79,111.0,26,,,2017-02-24-1739.gpx
2017-02-21 18:23:38,Walking,,1.14,8:18,7:17,8.25,59.0,13,,,2017-02-21-1823.gpx
2017-02-21 17:51:31,Running,,3.59,18:48,5:14,11.45,184.0,39,,,2017-02-21-1751.gpx
2017-02-18 18:01:43,Running,,1.96,12:59,6:38,9.04,81.0,9,,,2017-02-18-1801.gpx
2017-02-16 18:03:57,Running,,4.72,31:47,6:44,8.92,237.0,34,,,2017-02-16-1803.gpx
2017-02-14 18:50:13,Running,,5.12,28:26,5:33,10.81,211.0,17,,,2017-02-14-1850.gpx
2017-02-10 18:19:55,Running,,5.03,29:53,5:56,10.10,245.0,52,,,2017-02-10-1819.gpx
2017-02-08 17:14:01,Running,,0.71,4:21,6:05,9.86,37.0,7,,,2017-02-08-1714.gpx
2017-02-08 16:42:03,Running,,4.40,28:24,6:27,9.29,202.0,43,,,2017-02-08-1642.gpx
2017-02-06 17:39:54,Running,,3.38,20:47,6:09,9.76,162.0,20,,,2017-02-06-1739.gpx
2017-02-03 15:48:46,Running,,1.34,8:46,6:31,9.20,80.0,36,,,2017-02-03-1548.gpx
2017-01-31 14:12:34,Running,,1.73,10:29,6:04,9.88,95.0,33,,,2017-01-31-1412.gpx
2017-01-31 13:55:57,Running,,1.00,5:29,5:29,10.96,61.0,40,,,2017-01-31-1355.gpx
2017-01-31 13:36:32,Running,,2.60,16:34,6:23,9.41,140.0,39,,,2017-01-31-1336.gpx
2017-01-30 15:39:20,Strength Training,,0.00,30:00,,,125.0,0,,,
2017-01-30 15:37:00,Running,,0.46,2:03,4:25,13.57,24.0,0,,,2017-01-30-1537.gpx
2017-01-26 16:31:28,Running,,3.36,20:57,6:14,9.62,180.0,41,,,2017-01-26-1631.gpx
2017-01-26 16:17:36,Running,,1.37,7:42,5:38,10.64,77.0,26,,,2017-01-26-1617.gpx
2017-01-26 15:54:42,Running,,2.59,17:14,6:40,9.01,125.0,23,,,2017-01-26-1554.gpx
2017-01-25 17:12:57,Running,,1.94,14:18,7:22,8.15,105.0,39,,,2017-01-25-1712.gpx
2017-01-20 13:50:55,Running,,6.53,39:23,6:02,9.95,342.0,54,,,2017-01-20-1350.gpx
2017-01-17 16:41:49,Running,,5.18,32:18,6:14,9.62,194.0,0,,,2017-01-17-1641.gpx
2017-01-13 17:28:00,Running,,7.92,50:22,6:21,9.44,427.0,58,,,2017-01-13-1728.gpx
2017-01-11 18:12:00,Strength Training,,0.00,28:00,,,117.0,0,,,
2017-01-05 16:03:57,Running,,7.61,58:56,7:44,7.75,359.0,60,,,2017-01-05-1603.gpx
2017-01-03 19:41:20,Running,,5.08,33:53,6:40,8.99,258.0,52,,,2017-01-03-1941.gpx
2017-01-03 01:09:00,Strength Training,,0.00,15:00,,,62.0,0,,,
2016-12-02 12:12:16,Running,,4.70,38:36,8:12,7.31,231.0,52,,,2016-12-02-1212.gpx
2016-10-29 17:50:00,Running,,21.10,2:30:14,7:07,8.43,1186.0,0,,"BZM. My first half.",
2016-10-03 10:45:43,Running,,4.94,34:39,7:01,8.56,266.0,71,,,2016-10-03-1045.gpx
2016-09-28 07:40:00,Running,,1.92,13:45,7:10,8.37,107.0,16,,,2016-09-28-0740.gpx
2016-09-27 20:33:34,Running,,4.50,30:23,6:46,8.88,225.0,36,,,2016-09-27-2033.gpx
2016-09-15 20:12:18,Running,,6.29,39:24,6:16,9.57,335.0,108,,,2016-09-15-2012.gpx
2016-09-07 19:24:16,Running,,5.08,30:50,6:04,9.88,273.0,42,,,2016-09-07-1924.gpx
2016-08-23 19:56:00,Running,,1.78,10:54,6:08,9.79,94.0,6,,,2016-08-23-1956.gpx
2016-08-18 09:05:00,Running,,1.82,10:32,5:47,10.38,96.0,7,,,2016-08-18-0905.gpx
2016-08-12 18:17:00,Running,,3.28,20:31,6:15,9.60,164.0,36,,,2016-08-12-1817.gpx
2016-08-08 17:59:20,Running,,5.31,33:58,6:24,9.38,279.0,73,,,2016-08-08-1759.gpx
2016-08-01 18:44:00,Running,,4.90,32:30,6:38,9.05,265.0,77,,,2016-08-01-1844.gpx
2016-07-24 12:12:00,Cycling,,59.00,2:45:00,2:48,21.45,1335.0,0,,,
2016-07-01 17:36:47,Running,,3.29,21:20,6:29,9.25,176.0,15,,,2016-07-01-1736.gpx
2016-06-26 10:30:32,Running,,10.56,1:02:49,5:57,10.08,564.0,113,,,2016-06-26-1030.gpx
2016-06-24 19:40:31,Running,,6.52,39:45,6:06,9.84,354.0,113,,,2016-06-24-1940.gpx
2016-06-24 19:25:02,Running,,1.40,10:47,7:42,7.79,67.0,1,,,2016-06-24-1925.gpx
2016-06-22 09:11:20,Running,,2.25,14:32,6:27,9.30,117.0,21,,,2016-06-22-0911.gpx
2016-06-19 12:31:46,Running,,2.23,38:10,17:09,3.50,73.0,31,,,2016-06-19-1231.gpx
2016-06-17 16:44:00,Running,,3.70,20:01,5:25,11.08,176.0,28,,,2016-06-17-1644.gpx
2016-06-13 16:43:00,Running,,2.17,11:54,5:29,10.94,111.0,1,,,2016-06-13-1643.gpx
2016-06-12 22:09:00,Running,,5.00,27:18,5:28,10.99,268.0,0,,,
2016-06-06 16:27:00,Running,,2.68,15:17,5:43,10.51,141.0,14,,,2016-06-06-1627.gpx
2016-06-03 17:36:00,Running,"Isar - Au",5.57,30:15,5:26,11.04,238.0,44,,,2016-06-03-1736.gpx
2016-05-26 13:11:00,Cycling,,78.37,4:30:00,3:27,17.41,1289.0,671,,,2016-05-26-1311.gpx
2016-05-25 19:29:48,Running,,5.57,31:36,5:41,10.57,238.0,44,,,2016-05-25-1929.gpx
2016-05-20 20:16:42,Running,,4.59,26:47,5:50,10.28,227.0,72,,,2016-05-20-2016.gpx
2016-05-18 20:19:33,Running,,3.50,22:38,6:28,9.28,179.0,47,,,2016-05-18-2019.gpx
2016-05-10 19:40:47,Running,,4.42,25:03,5:40,10.59,215.0,53,,,2016-05-10-1940.gpx
2016-05-08 10:16:00,Cycling,,42.70,3:00:00,4:13,14.23,624.0,345,,,2016-05-08-1016.gpx
2016-05-07 20:58:12,Running,,3.09,17:50,5:47,10.39,164.0,21,,,2016-05-07-2058.gpx
2016-05-05 16:10:00,Cycling,,27.34,3:00:00,6:35,9.11,616.0,142,,,2016-05-05-1610.gpx
2016-04-30 20:47:05,Walking,,2.53,31:22,12:23,4.84,102.0,34,,,2016-04-30-2047.gpx
2016-04-30 19:33:47,Running,,10.16,1:08:07,6:42,8.95,469.0,109,,,2016-04-30-1933.gpx
2016-04-25 15:50:22,Running,,7.77,47:39,6:08,9.79,367.0,99,,,2016-04-25-1550.gpx
2016-04-09 19:30:00,Running,,8.00,59:00,7:23,8.14,426.0,0,,,
2016-04-03 16:10:10,Running,,5.99,44:19,7:24,8.12,313.0,70,,,2016-04-03-1610.gpx
2016-03-04 19:43:17,Running,,5.37,37:02,6:54,8.70,269.0,75,,,2016-03-04-1943.gpx
2016-02-12 17:13:27,Running,,5.45,35:39,6:32,9.18,273.0,76,,,2016-02-12-1713.gpx
2016-02-09 20:01:43,Running,,3.69,23:35,6:23,9.40,172.0,45,,,2016-02-09-2001.gpx
2016-02-02 19:18:43,Running,,3.73,25:11,6:45,8.89,190.0,50,,,2016-02-02-1918.gpx
2016-01-25 16:45:49,Running,,1.68,13:56,8:17,7.25,84.0,24,,,2016-01-25-1645.gpx
2016-01-06 21:14:55,Running,,5.27,35:38,6:46,8.87,267.0,85,,,2016-01-06-2114.gpx
2016-01-05 21:48:51,Running,,8.05,56:14,6:59,8.59,417.0,127,,,2016-01-05-2148.gpx
2016-01-01 15:50:14,Running,,5.69,37:34,6:36,9.08,303.0,94,,,2016-01-01-1550.gpx
2015-12-31 13:25:22,Cycling,,13.54,44:55,3:19,18.09,248.0,170,,,2015-12-31-1325.gpx
2015-12-28 17:38:43,Running,,3.71,24:37,6:38,9.04,193.0,45,,,2015-12-28-1738.gpx
2015-12-26 16:30:00,Stairmaster / Stepwell,,0.00,5:00,,,38.0,0,,,
2015-12-26 16:15:00,Cycling,,10.00,40:00,4:00,15.00,140.0,0,,,
2015-12-25 17:38:00,Strength Training,,0.00,15:00,,,48.0,0,,,
2015-12-01 20:23:01,Running,,3.35,25:16,7:32,7.96,165.0,53,,,2015-12-01-2023.gpx
2015-11-10 20:02:58,Running,,3.98,25:51,6:30,9.23,196.0,41,,,2015-11-10-2002.gpx
2015-11-03 21:09:47,Running,,1.23,6:25,5:14,11.48,63.0,13,,,2015-11-03-2109.gpx
2015-11-03 20:54:55,Running,,1.80,9:15,5:09,11.65,94.0,23,,,2015-11-03-2054.gpx
2015-11-03 20:44:23,Running,,1.26,9:56,7:54,7.59,60.0,10,,,2015-11-03-2044.gpx
2015-10-27 18:45:19,Running,,2.03,9:34,4:43,12.74,101.0,21,,,2015-10-27-1845.gpx
2015-10-27 18:32:12,Running,,1.82,9:49,5:24,11.12,98.0,30,,,2015-10-27-1832.gpx
2015-10-22 22:07:44,Running,,4.86,34:15,7:03,8.52,253.0,71,,,2015-10-22-2207.gpx
2015-10-20 20:54:51,Cycling,,15.20,55:23,3:39,16.47,279.0,222,148,,2015-10-20-2054.gpx
2015-10-19 18:49:47,Running,,8.91,1:04:01,7:11,8.35,449.0,125,,,2015-10-19-1849.gpx
2015-10-16 21:30:00,Swimming,,0.40,1:28:00,220:00,0.27,293.0,0,,,
2015-10-15 19:43:49,Cycling,,10.77,38:45,3:36,16.68,214.0,134,,,2015-10-15-1943.gpx
2015-10-13 20:12:00,Running,,4.47,44:59,10:04,5.96,169.0,0,157,,
2015-10-13 19:23:15,Running,,2.96,15:06,5:07,11.74,154.0,34,,,2015-10-13-1923.gpx
2015-10-11 17:23:32,Cycling,,11.62,41:33,3:34,16.78,215.0,128,,,2015-10-11-1723.gpx
2015-10-11 14:25:17,Cycling,,11.23,43:05,3:50,15.64,210.0,79,,,2015-10-11-1425.gpx
2015-10-09 11:15:00,Swimming,,0.15,1:53:00,753:20,0.08,377.0,0,,,
